id,name,artists,album,release_date,popularity,duration_ms,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
1BAU6v0fuAV914qMUEESR1,Born With A Beer In My Hand,Morgan Wallen,One Thing At A Time,2023-03-03,,188523,False,0.0502,0.531,0.81,3.95e-05,0.357,-5.475,0.0401,0.608,148.026,4
7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen,One Thing At A Time,2023-03-03,,163854,True,0.467,0.492,0.675,0,0.142,-5.456,0.0389,0.478,203.759,4
03fs6oV5JAlbytRYf3371S,Everything I Love,Morgan Wallen,One Thing At A Time,2023-03-03,,187047,False,0.00514,0.568,0.841,0.000503,0.147,-3.802,0.0261,0.668,103.983,4
73zawW1ttszLRgT9By826D,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",One Thing At A Time,2023-03-03,,191231,False,0.123,0.498,0.764,3.07e-05,0.119,-5.006,0.0309,0.489,147.984,4
2PsbT927UanvyH9VprlNOu,Devil Don’t Know,Morgan Wallen,One Thing At A Time,2023-03-03,,205182,False,0.377,0.53,0.664,3.76e-05,0.0937,-5.648,0.0272,0.323,125.002,4
1rXq0uoV4KTgRN64jXzIxo,One Thing At A Time,Morgan Wallen,One Thing At A Time,2023-03-03,,206864,False,0.00522,0.613,0.914,2.21e-06,0.26,-5.153,0.03,0.916,141.978,4
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,Morgan Wallen,One Thing At A Time,2023-03-03,,178704,False,0.0969,0.488,0.67,0.00022,0.257,-5.759,0.0268,0.484,142.139,4
2YVlDlk2zRceefo6XlC6DX,Ain’t That Some,Morgan Wallen,One Thing At A Time,2023-03-03,,158003,True,0.00232,0.641,0.803,3.86e-06,0.361,-5.781,0.0286,0.671,121.086,4
7phmBo7bB9I9YifAXqnlqV,I Wrote The Book,Morgan Wallen,One Thing At A Time,2023-03-03,,181766,False,0.0834,0.692,0.808,3.75e-05,0.0913,-3.757,0.0396,0.802,143.977,4
5NzfnUyVaNrxa2VtoyBWlR,Tennessee Numbers,Morgan Wallen,One Thing At A Time,2023-03-03,,225127,False,0.0487,0.425,0.738,0.00173,0.107,-5.368,0.0342,0.267,156.288,4
2Ej3iV0nulryy9S3UQvjSx,Hope That’s True,Morgan Wallen,One Thing At A Time,2023-03-03,,186465,True,0.163,0.586,0.838,0.00016,0.0858,-4.892,0.0367,0.776,150.114,4
2ewSCWOL7EAjgmgqfI1UlS,Whiskey Friends,Morgan Wallen,One Thing At A Time,2023-03-03,,205579,False,0.0631,0.544,0.826,1.46e-05,0.113,-3.848,0.0288,0.596,142.029,4
0JtgoDDf0ggWaoXCGhcOoT,Sunrise,Morgan Wallen,One Thing At A Time,2023-03-03,,182522,False,0.259,0.613,0.765,4.28e-06,0.0832,-5.058,0.0318,0.343,139.993,4
1vcJdUJDM2NVXBsGncmLyh,Keith Whitley,Morgan Wallen,One Thing At A Time,2023-03-03,,187518,False,0.0884,0.322,0.693,0.000316,0.0853,-4.366,0.0281,0.228,83.233,4
2aw1aEAxMe05MZIS5XiK8U,In The Bible (feat. HARDY),"Morgan Wallen, HARDY",One Thing At A Time,2023-03-03,,195326,False,0.0119,0.488,0.806,6.02e-06,0.111,-4.451,0.0291,0.509,77.014,4
5W4kiM2cUYBJXKRudNyxjW,You Proof,Morgan Wallen,One Thing At A Time,2023-03-03,,157477,False,0.265,0.732,0.839,0,0.602,-5.007,0.0345,0.629,119.724,4
3Qu3Zh4WTKhP9GEXo0aDnb,Thought You Should Know,Morgan Wallen,One Thing At A Time,2023-03-03,,215571,True,0.506,0.53,0.678,6.23e-06,0.138,-6.16,0.0278,0.508,140.05,4
77kye8TttXpEbvgoiVjZdo,F150-50,Morgan Wallen,One Thing At A Time,2023-03-03,,191634,False,0.0653,0.541,0.754,0,0.109,-5.453,0.0276,0.37,90.904,4
1GiwvmI57OTGcKGNigZFJb,Neon Star (Country Boy Lullaby),Morgan Wallen,One Thing At A Time,2023-03-03,,171495,False,0.426,0.704,0.677,3.29e-06,0.118,-6.135,0.0288,0.715,92.021,4
7u2iWRkkz8GBYFe4apxVBl,I Deserve A Drink,Morgan Wallen,One Thing At A Time,2023-03-03,,206137,False,0.0995,0.475,0.606,0.0171,0.0931,-4.906,0.03,0.303,123.009,3
0oPRfdP48RM4bd3xBFyiRo,Wine Into Water,Morgan Wallen,One Thing At A Time,2023-03-03,,223968,False,0.0466,0.564,0.829,0.000184,0.118,-5.842,0.0281,0.393,122.038,4
68eDGmSTQgxJde9JTG7b71,Me + All Your Reasons,Morgan Wallen,One Thing At A Time,2023-03-03,,174741,False,0.205,0.504,0.827,0,0.355,-5.48,0.0375,0.424,146.14,4
7ya4zrCKDslIfrztqglRIP,Tennessee Fan,Morgan Wallen,One Thing At A Time,2023-03-03,,198255,False,0.0765,0.481,0.837,1.02e-06,0.0834,-4.763,0.0305,0.56,76.033,4
09UUDUFaudMcUkocm2iqR8,Money On Me,Morgan Wallen,One Thing At A Time,2023-03-03,,175158,False,0.00813,0.485,0.78,0.00321,0.0845,-5.963,0.0292,0.323,75.063,4
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,2023-03-03,,177387,False,0.492,0.656,0.757,0,0.117,-5.775,0.0308,0.429,139.971,4
